City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,suva,-18.1416,178.4415,23.71,57,40,4.63,FJ,1696133527
315,santana,-0.0583,-51.1817,28.1,78,40,4.12,BR,1696133869
316,abepura,-2.6333,140.5833,28.45,70,20,3.09,ID,1696133982
317,safi,32.1667,-8.8333,23.28,27,34,2.1,MA,1696133982
318,polyarnyy,69.1989,33.4478,7.65,94,96,4.84,RU,1696133595
319,la passe,45.5549,-0.8967,16.1,75,46,3.33,FR,1696133584
320,narasannapeta,18.4167,84.05,30.05,71,100,3.03,IN,1696133982
321,batticaloa,7.7102,81.6924,28.58,68,76,4.09,LK,1696133983
322,san javier,37.8063,-0.8374,20.63,70,0,1.54,ES,1696133983
323,minas de marcona,-15.2119,-75.1103,14.06,86,83,3.72,PE,1696133593
324,altai,46.3722,96.2583,5.93,61,100,6.91,MN,1696133983
325,kirkwall,58.9848,-2.9587,13.03,88,75,8.23,GB,1696133984
326,ribas do rio pardo,-20.4431,-53.7592,27.19,61,81,1.0,BR,1696133700
327,zhezqazghan,47.7833,67.7667,11.32,66,75,5.0,KZ,1696133984
328,zapolyarnyy,69.4154,30.8136,6.6,94,97,6.24,RU,1696133984
329,pittsfield,42.4501,-73.2454,14.15,82,100,0.0,US,1696133984
330,stabat,3.761,98.4513,32.11,55,46,0.71,ID,1696133985
331,west bend,43.4253,-88.1834,21.27,86,98,3.58,US,1696133686
332,tashtagol,52.7657,87.8894,7.71,92,100,1.64,RU,1696133843
333,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.54,GF,1696133654
334,mikumi,-7.4041,36.9831,21.12,85,93,1.06,TZ,1696133985
335,bethanie,-26.4833,17.15,12.65,37,0,0.81,NA,1696133986
336,port saint john's,-31.6229,29.5448,16.44,59,100,6.87,ZA,1696133662
337,zuunmod,47.7069,106.9528,10.57,36,9,2.2,MN,1696133986
338,alice springs,-23.7,133.8833,35.75,10,4,4.63,AU,1696133627
339,urzhar,47.093,81.6294,16.01,44,96,1.0,KZ,1696133986
340,minbu,20.1833,94.8833,26.96,84,88,4.9,MM,1696133987
341,plastun,44.7561,136.2939,17.14,51,23,4.03,RU,1696133662
